STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2000,11.0914,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2008,15.2212,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AGO,Angola,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2018,24.5286,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,1996,1.5168,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2002,1.5893,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2005,1.2175,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2008,0.9853,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2012,1.0635,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2014,1.1193,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ALB,Albania,WB_PIP_NPOOR_UMIC,"Population living below the poverty line (2017 PPP, $6.85) (million)",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PS,Persons,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,_Z,Not Applicable,2015,0.7329,WB_PIP,Poverty and Inequality Platform (PIP),6,Millions,NUMBER,Number (real number),602,CCYY,,A,Normal value,PU,Public
