country,hale,year
Afghanistan,-,-
Albania,0.388785,2020
Algeria,13.395926,2011
Andorra,-,-
Angola,24.411781,2018
Antigua and Barbuda,-,-
Argentina,4.949461,2022
Armenia,1.5232,2022
Australia,0.249633,2018
Austria,0.098514,2021
Azerbaijan,2.626649,2005
Bahamas,-,-
Bahrain,-,-
Bangladesh,125.514206,2022
Barbados,-,-
Belarus,0.121939,2020
Belgium,0.023172,2021
Belize,0.155683,1999
Benin,10.918522,2021
Bhutan,0.065597,2022
Bolivia (Plurinational State of),-,-
Bosnia and Herzegovina,0.217024,2011
Botswana,1.399078,2015
Brazil,49.422009,2022
Brunei Darussalam,-,-
Bulgaria,0.398909,2021
Burkina Faso,19.37781,2021
Burundi,12.213291,2020
Cabo Verde,0.260809,2015
Cambodia,-,-
Cameroon,20.455976,2021
Canada,0.263329,2019
Central African Republic,4.91784,2021
Chad,16.388321,2022
Chile,0.918993,2022
China,240.101196,2021
Colombia,18.004805,2022
Comoros,0.488091,2014
Congo,3.849119,2011
Cook Islands,-,-
Costa Rica,0.648402,2023
C么te d'Ivoire,22.644758,2021
Croatia,0.069822,2021
Cuba,-,-
Cyprus,0.001317,2021
Czechia,0.031517,2021
Democratic People's Republic of Korea,-,-
Democratic Republic of the Congo,93.782227,2020
Denmark,0.01757,2021
Djibouti,0.82805,2017
Dominica,-,-
Dominican Republic,2.414608,2022
Ecuador,5.322104,2023
Egypt,73.996574,2019
El Salvador,1.727088,2022
Equatorial Guinea,-,-
Eritrea,-,-
Estonia,0.009317,2021
Ethiopia,94.415222,2015
Fiji,0.481237,2019
Finland,0.005541,2021
France,0.339214,2021
Gabon,0.672953,2017
Gambia,2.027681,2020
Georgia,1.770863,2022
Germany,0.415804,2020
Ghana,23.045042,2016
Greece,0.306507,2021
Grenada,0.015965,2018
Guatemala,8.687675,2014
Guinea,11.027744,2018
Guinea-Bissau,1.834427,2021
Guyana,0.43219,1998
Haiti,8.639864,2012
Honduras,4.922098,2019
Hungary,0.213618,2021
Greenland,0,2017
India,1156.818848,2021
Indonesia,173.775467,2023
Iran (Islamic Republic of),19.60581,2022
Iraq,8.312746,2012
Ireland,0.015099,2021
Israel,0.327999,2021
Italy,1.005264,2021
Jamaica,0.394438,2021
Japan,1.78423,2013
Jordan,0.598357,2010
Kazakhstan,2.092822,2021
Kenya,48.5891,2021
Kiribati,0.085382,2019
Kuwait,-,-
Kyrgyzstan,4.192107,2022
Lao People's Democratic Republic,5.025272,2018
Latvia,0.039574,2021
Lebanon,0.086632,2011
Lesotho,1.747259,2017
Liberia,4.227736,2016
Libya,-,-
Lithuania,0.03361,2021
Luxembourg,0.00192,2021
Madagascar,23.040113,2012
Malawi,18.512056,2019
Malaysia,0.788495,2021
Maldives,0.019022,2019
Mali,19.231833,2021
Malta,0.004123,2020
Marshall Islands,0.013862,2019
Mauritania,3.038041,2019
Mauritius,0.17076,2017
Mexico,28.037659,2022
Micronesia (Federated States of),-,-
Monaco,-,-
Mongolia,0.758858,2022
Montenegro,0.075544,2021
Morocco,14.224567,2013
Mozambique,28.718889,2019
Myanmar,35.392349,2017
Namibia,1.360474,2015
Nauru,0.006335,2012
Nepal,13.104507,2022
Netherlands,0.052599,2021
New Zealand,-,-
Nicaragua,2.553993,2014
Niger,23.59556,2021
Nigeria,186.084396,2018
Niue,-,-
Norway,0.026739,2019
Oman,-,-
Pakistan,191.754913,2018
Palau,-,-
Panama,0.57518,2023
Papua New Guinea,6.680607,2009
Paraguay,1.345332,2022
Peru,10.779091,2022
Philippines,62.544827,2021
Poland,0.332834,2021
Portugal,0.176151,2021
Qatar,0,2017
Republic of Korea,0.258848,2021
Republic of Moldova,0.373796,2021
Romania,1.357666,2021
Russian Federation,2.894935,2021
Rwanda,10.989487,2016
Saint Kitts and Nevis,-,-
Saint Lucia,-,-
Saint Vincent and the Grenadines,-,-
Samoa,0.08585,2013
San Marino,-,-
Sao Tome and Principe,0.164955,2017
Saudi Arabia,-,-
Senegal,13.018975,2021
Serbia,0.512574,2021
Seychelles,0.006483,2018
Sierra Leone,6.791552,2018
Singapore,-,-
Slovakia,0.130734,2021
Slovenia,0.002108,2021
Solomon Islands,0.507641,2012
Somalia,-,-
South Africa,34.246422,2014
South Sudan,10.461879,2016
Spain,0.9009,2021
Sri Lanka,10.748879,2019
Sudan,33.465698,2014
Suriname,0.109054,2022
Swaziland,0.897765,2016
Sweden,0.145821,2021
Switzerland,0.008638,2020
Syrian Arab Republic,21.563686,2022
Tajikistan,5.73951,2015
Thailand,8.750734,2021
The former Yugoslav Republic of Macedonia,0.35649,2019
Timor-Leste,1.11808,2014
Togo,7.706433,2021
Tonga,0.02268,2021
Trinidad and Tobago,0.384046,1992
Tunisia,1.951877,2021
Turkey,6.395196,2021
Turkmenistan,4.026793,1998
Tuvalu,0.006008,2010
Uganda,39.172668,2019
Ukraine,3.172281,2020
United Arab Emirates,0.037387,2018
United Kingdom,0.469184,2021
United Republic of Tanzania,53.014484,2018
United States of America,6.665428,2022
Uruguay,0.217018,2022
Uzbekistan,6.044439,2022
Vanuatu,0.222201,2019
Venezuela (Bolivarian Republic of),10.563178,2006
Viet Nam,19.637089,2022
Yemen,25.813269,2014
Zambia,18.782537,2022
Zimbabwe,12.980662,2019
,,
