[ 2025-04-19 01:17:44 ] Pid : 194574, barber came to work...
[ 2025-04-19 01:17:45 ] Pid : 194574, barber taking a break...
[ 2025-04-19 01:17:48 ] Pid : 194574, barber is providing a service...
[ 2025-04-19 01:17:49 ] Pid : 194574, barber stopped resting...
[ 2025-04-19 01:17:49 ] Pid : 194574, barber is taking money...
[ 2025-04-19 01:17:51 ] Pid : 194574, barber taking a break...
[ 2025-04-19 01:17:51 ] Pid : 194574, barber is providing a service...
[ 2025-04-19 01:17:52 ] Pid : 194574, barber stopped resting...
[ 2025-04-19 01:17:52 ] Pid : 194574, barber is taking money...
[ 2025-04-19 01:17:54 ] Pid : 194574, barber taking a break...
[ 2025-04-19 01:17:54 ] Pid : 194574, barber is providing a service...
[ 2025-04-19 01:17:55 ] Pid : 194574, barber stopped resting...
[ 2025-04-19 01:17:55 ] Pid : 194574, barber is taking money...
[ 2025-04-19 01:17:56 ] Pid : 194574, barbershop is closed, barber is leaving...
