[ 2025-04-19 01:22:47 ] Pid : 198228, barber came to work...
[ 2025-04-19 01:22:48 ] Pid : 198228, barber taking a break...
[ 2025-04-19 01:22:48 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:49 ] Pid : 198228, barber stopped resting...
[ 2025-04-19 01:22:49 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:49 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:50 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:50 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:51 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:51 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:52 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:52 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:53 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:53 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:54 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:54 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:55 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:55 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:56 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:56 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:57 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:57 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:22:58 ] Pid : 198228, barber is providing a service...
[ 2025-04-19 01:22:58 ] Pid : 198228, barber is taking money...
[ 2025-04-19 01:23:00 ] Pid : 198228, barbershop is closed, barber is leaving...
