method,sweep_type,param_value,num_kp1,num_kp2,num_raw,num_good,num_inliers,inlier_ratio,mean_reproj_err,t_detect_ms,t_match_ms
SIFT,rotation,0.0,2460,2542,2272,2272,2259,0.9942781690140845,0.04067035802452285,364.20859999999954,8.920999999999957
SuperPoint,rotation,0.0,2048,2048,1994,1994,1991,0.9984954864593781,0.1465251457524226,553.1326999999999,44.192800000000254
SIFT,rotation,15.0,2460,3000,1330,1330,1236,0.9293233082706767,0.28015705785913025,310.11279999999977,10.160600000000741
SuperPoint,rotation,15.0,2048,2048,1546,1546,1480,0.9573091849935317,1.1258772997783162,56.91589999999991,21.43219999999957
SIFT,rotation,30.0,2460,2600,1335,1335,1266,0.9483146067415731,0.35139392818384846,300.70789999999994,8.498700000000525
SuperPoint,rotation,30.0,2048,2048,1274,1274,1111,0.8720565149136578,1.2029114824094187,48.16389999999959,22.113399999999395
SIFT,rotation,45.0,2460,2576,1223,1223,1169,0.955846279640229,0.4175213495545542,307.0022999999997,9.976700000000172
SuperPoint,rotation,45.0,2048,1985,621,621,208,0.33494363929146537,1.2851123822637065,50.187100000000484,22.521000000000235
SIFT,rotation,60.0,2460,2508,1206,1206,1138,0.9436152570480929,0.4939903314997524,302.4741999999998,10.801299999999792
SuperPoint,rotation,60.0,2048,1633,460,460,8,0.017391304347826087,47.922868769045614,52.83739999999959,21.721100000000604
SIFT,scale,0.6,2460,1171,755,755,634,0.8397350993377484,0.4059104064808102,295.5035000000006,4.308599999999885
SuperPoint,scale,0.6,2048,1517,1043,1043,835,0.800575263662512,1.42878448737961,44.18070000000007,13.713300000000928
SIFT,scale,0.75,2460,1737,1068,1068,970,0.9082397003745318,0.32388027525740926,293.6955000000001,5.5379000000002065
SuperPoint,scale,0.75,2048,1799,1343,1343,1258,0.9367088607594937,1.2586493673056498,45.26929999999929,17.353599999999858
SIFT,scale,0.9,2460,2300,1326,1326,1246,0.9396681749622926,0.3156799931363225,299.66660000000013,7.66950000000044
SuperPoint,scale,0.9,2048,2048,1604,1604,1542,0.9613466334164589,1.0965520361244638,46.879199999999344,20.108600000000365
SIFT,scale,1.0,2460,2542,2272,2272,2259,0.9942781690140845,0.04067035802452285,313.91239999999954,11.082800000000503
SuperPoint,scale,1.0,2048,2048,1994,1994,1991,0.9984954864593781,0.1465251457524226,46.73400000000072,20.281400000000005
SIFT,scale,1.15,2460,2935,1252,1252,1173,0.9369009584664537,0.3718396898001334,172.95060000000007,8.145499999999473
SuperPoint,scale,1.15,2048,2048,1508,1508,1466,0.9721485411140584,1.1768187905323273,48.428499999999985,21.11139999999878
SIFT,scale,1.3,2460,2963,1061,1061,988,0.9311969839773798,0.37715189778700947,195.8745999999998,9.20149999999964
SuperPoint,scale,1.3,2048,1951,1302,1302,1205,0.9254992319508448,1.2828142839532712,65.52740000000057,144.48680000000104
