feature,matcher,sweep_type,param_value,num_kp1,num_kp2,num_matches,num_inliers,inlier_ratio,mean_reproj_err,t_extract_ms,t_match_ms
superpoint,nn,rotation,0.0,2048,2048,1993,1991,0.9989964877069744,0.1433863913045485,2018.296800000826,14.398900006199256
superpoint,lightglue,rotation,0.0,2048,2048,1991,1990,0.9994977398292315,0.14608963470595773,2018.296800000826,346.13700000045355
disk,nn,rotation,0.0,2048,2048,1983,1982,0.9994957135653051,0.055376592937669764,1514.2281000007642,14.702499989653006
disk,lightglue,rotation,0.0,2048,2048,1982,1982,1.0,0.055376592937669764,1514.2281000007642,232.6007999945432
aliked,nn,rotation,0.0,2048,2048,2000,1999,0.9995,0.08143103331607275,976.4400999993086,13.535799997043796
aliked,lightglue,rotation,0.0,2048,2048,1999,1999,1.0,0.08143103331607275,976.4400999993086,412.3749999998836
sift,nn,rotation,0.0,2048,2048,2001,1992,0.9955022488755623,0.07497358522977596,2357.716699989396,16.714700002921745
sift,lightglue,rotation,0.0,2048,2048,1954,1947,0.996417604912999,0.07828747065972316,2357.716699989396,1039.0161000104854
superpoint,nn,rotation,15.0,2048,2048,1552,1445,0.9310567010309279,1.1368948076423608,1861.842099999194,12.96629999706056
superpoint,lightglue,rotation,15.0,2048,2048,1581,1506,0.952561669829222,1.1024587559460675,1861.842099999194,401.07970000826754
disk,nn,rotation,15.0,2048,2048,1420,1376,0.9690140845070423,0.8226679142419218,1486.5901000011945,12.702099993475713
disk,lightglue,rotation,15.0,2048,2048,1449,1419,0.979296066252588,0.8088606426857219,1486.5901000011945,523.9735999930417
aliked,nn,rotation,15.0,2048,1835,1307,1075,0.8224942616679418,0.9592568893910329,922.7873000054387,11.887500004377216
aliked,lightglue,rotation,15.0,2048,1835,1346,1315,0.9769687964338781,0.8871717933696616,922.7873000054387,512.7956999931484
sift,nn,rotation,15.0,2048,2048,1537,1335,0.8685751463890696,1.1617535378790447,2088.7736000004224,16.303500000503846
sift,lightglue,rotation,15.0,2048,2048,1465,1220,0.8327645051194539,1.17523022770346,2088.7736000004224,969.4389999931445
superpoint,nn,rotation,30.0,2048,2039,1275,1078,0.8454901960784313,1.1912047506937036,1864.2806999996537,13.075399998342618
superpoint,lightglue,rotation,30.0,2048,2039,1498,1473,0.9833110814419226,1.1644692964794536,1864.2806999996537,489.19730000488926
disk,nn,rotation,30.0,2048,2048,335,133,0.3970149253731343,1.3964105598741943,1486.137100000633,11.716499997419305
disk,lightglue,rotation,30.0,2048,2048,1287,1268,0.9852369852369852,1.1901731134197606,1486.137100000633,810.228600006667
aliked,nn,rotation,30.0,2048,1798,723,361,0.49930843706777317,1.6683591007568523,916.9398999947589,10.5430000112392
aliked,lightglue,rotation,30.0,2048,1798,1116,975,0.8736559139784946,1.4816692541931455,916.9398999947589,530.524299989338
sift,nn,rotation,30.0,2048,2048,1464,1364,0.9316939890710383,1.1749247357043247,1980.2764999913052,15.855899997404777
sift,lightglue,rotation,30.0,2048,2048,1329,1248,0.9390519187358917,1.1206041551835706,1980.2764999913052,952.9082000080962
superpoint,nn,rotation,45.0,2048,1974,618,211,0.3414239482200647,1.2378246678575122,1850.5409999925178,12.310499994782731
superpoint,lightglue,rotation,45.0,2048,1974,1425,1195,0.8385964912280702,1.1723152806321766,1850.5409999925178,691.0632999934023
disk,nn,rotation,45.0,2048,2048,215,7,0.03255813953488372,244.41084622703428,1495.014700005413,13.480900001013651
disk,lightglue,rotation,45.0,2048,2048,1149,1004,0.8738033072236727,1.6166253954385728,1495.014700005413,918.1700000044657
aliked,nn,rotation,45.0,2048,2048,513,8,0.015594541910331383,90.7418247486118,962.5071000045864,11.917000010726042
aliked,lightglue,rotation,45.0,2048,2048,987,792,0.8024316109422492,2.212821557525927,962.5071000045864,711.7840999999316
sift,nn,rotation,45.0,2048,2048,1441,1079,0.7487855655794587,1.219063584021074,2131.164999998873,18.058900008327328
sift,lightglue,rotation,45.0,2048,2048,1118,1030,0.9212880143112702,1.147753235785344,2131.164999998873,1073.229599991464
superpoint,nn,rotation,60.0,2048,1613,459,7,0.015250544662309368,433.54092884249667,2065.7867999980226,14.542900011292659
superpoint,lightglue,rotation,60.0,2048,1613,1194,970,0.8123953098827471,1.2210977172004156,2065.7867999980226,897.3522000014782
disk,nn,rotation,60.0,2048,2048,177,6,0.03389830508474576,417.03478339585246,1536.5038000018103,12.741600003209896
disk,lightglue,rotation,60.0,2048,2048,122,69,0.5655737704918032,2.499510980007291,1536.5038000018103,680.1651999994647
aliked,nn,rotation,60.0,2048,2048,482,7,0.014522821576763486,279.32242890658017,947.7904999948805,14.72940000530798
aliked,lightglue,rotation,60.0,2048,2048,729,484,0.663923182441701,3.000741449598971,947.7904999948805,795.6181000045035
sift,nn,rotation,60.0,2048,2048,1366,1212,0.8872620790629575,1.176450994038248,2206.0539000085555,17.41780000156723
sift,lightglue,rotation,60.0,2048,2048,784,658,0.8392857142857143,1.086158738822404,2206.0539000085555,968.0252999969525
superpoint,nn,scale,0.6,2048,1519,1043,849,0.8139980824544583,1.532752358619642,1992.0184999937192,10.918899992248043
superpoint,lightglue,scale,0.6,2048,1519,1092,1087,0.9954212454212454,1.1659960384723718,1992.0184999937192,427.436600002693
disk,nn,scale,0.6,2048,2048,1111,1067,0.9603960396039604,0.8937675959192714,1520.745400004671,14.14719999593217
disk,lightglue,scale,0.6,2048,2048,1173,984,0.8388746803069054,0.881618815844005,1520.745400004671,617.4093000008725
aliked,nn,scale,0.6,2048,1100,899,831,0.9243604004449388,1.0492107081778277,876.9069999980275,10.54889999795705
aliked,lightglue,scale,0.6,2048,1100,930,897,0.964516129032258,0.8706939250068846,876.9069999980275,414.5566999941366
sift,nn,scale,0.6,2048,2048,720,537,0.7458333333333333,1.2294189565660363,2135.007700009737,15.299499995307997
sift,lightglue,scale,0.6,2048,2048,34,27,0.7941176470588235,0.9995662594835184,2135.007700009737,806.536000003689
superpoint,nn,scale,0.75,2048,1802,1342,1211,0.9023845007451565,1.24387302505146,2126.8152999982703,12.140199993154965
superpoint,lightglue,scale,0.75,2048,1802,1382,1232,0.8914616497829233,1.1527841758298412,2126.8152999982703,369.2838999995729
